Query                Country               City                                                Org                                                                                
-------------------- --------------------- --------------------------------------------------- -----------------------------------------------------------------------------------
63.143.98.183        Jamaica               Kingston                                            Digicel Jamaica                                                                    
63.143.101.78        Jamaica               Kingston                                            Digicel Jamaica                                                                    
69.160.105.242       Jamaica               Kingston                                            Digicel Jamaica                                                                    
173.225.247.213      Jamaica               Kingston                                            Digicel Jamaica                                                                    
207.204.113.145      Jamaica               Portmore                                            Private                                                                            
69.160.106.62        Jamaica               Kingston                                            Digicel Jamaica                                                                    
208.131.188.18       Jamaica               Kingston                                            Cable and Wireless Jamaica                                                         
72.27.4.3            Jamaica               Kingston                                            Cable and Wireless Jamaica                                                         
212.12.162.17        Singapore             Singapore                                           AL Yemeni Co.                                                                      
196.206.217.71       Morocco               Laayoune                                                                                                                               
84.254.188.162       France                Paris                                               Skylogic S.P.A.                                                                    
84.254.188.181       France                Paris                                               Skylogic S.P.A.                                                                    
154.120.138.146      Madagascar            Antananarivo                                                                                                                           
41.204.109.155       Madagascar            Antananarivo                                        widecomMAXTana2                                                                    
218.188.194.190      Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
175.45.29.190        Hong Kong             Kowloon Bay                                         HKBNES                                                                             
116.92.232.174       Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
202.82.217.41        Hong Kong             Kowloon Bay                                         Perry Capital ( Asia ) Limited                                                     
218.253.252.102      Hong Kong             Kowloon Bay                                         WTT HK Limited                                                                     
223.17.196.159       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
42.200.103.199       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
42.200.135.194       Hong Kong             Tiu Keng Leng                                       Hong Kong Telecommunications (HKT) Limited                                         
202.77.29.210        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
101.78.201.94        Hong Kong             Ho Man Tin                                          HKBN Enterprise Solutions HK Limited                                               
103.17.73.154        Hong Kong             Wan Chai                                            HKBNES                                                                             
203.186.13.238       Hong Kong             Kwai Chung                                          Huacommte                                                                          
203.198.195.145      Hong Kong             Quarry Bay                                          American Phil Textiles LTD                                                         
218.253.134.106      Hong Kong             Kornhill Garden                                     HKBNES                                                                             
218.189.77.254       Hong Kong             Tin Hau                                             HGC Global Communications Limited                                                  
183.178.182.93       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
223.197.184.33       Hong Kong             Central                                             HKT Limited                                                                        
183.178.171.74       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
42.200.64.154        Hong Kong             Tai Yuen Estate                                     Hong Kong Telecommunications (HKT) Limited                                         
45.251.104.136       Hong Kong             Kwun Tong                                                                                                                              
103.6.142.74         Hong Kong             Hung Hom                                            HKBN Enterprise Solutions HK Limited                                               
61.93.14.86          Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
218.255.25.158       Hong Kong             Kowloon Bay                                         HKBNES                                                                             
218.188.50.186       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
94.190.212.125       Hong Kong             Kwu Tung                                            PCCW IMS Ltd (PCCW Business Internet Access)                                       
123.1.233.163        Hong Kong             Kowloon Bay                                                                                                                            
42.200.164.65        Hong Kong             Kwu Tung                                            Hong Kong Telecommunications (HKT) Limited                                         
112.120.45.164       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
123.1.250.156        Hong Kong             Kowloon Bay                                                                                                                            
42.3.231.217         Hong Kong             Kwu Tung                                            Hong Kong Telecommunications (HKT) Limited                                         
45.125.115.6         Hong Kong             Tsz Wan Shan                                        Viking Telecom Limited                                                             
118.143.86.135       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
203.19.38.158        Hong Kong             Hong Kong                                                                                                                              
218.253.134.114      Hong Kong             Kornhill Garden                                     HKBNES                                                                             
183.178.46.66        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
203.198.136.8        Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
218.255.184.206      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
118.143.211.171      Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
223.255.166.246      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
202.181.213.59       Hong Kong             Hong Kong                                           IXTech Limited                                                                     
101.78.142.226       Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
118.140.94.88        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
183.178.46.70        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
202.69.73.114        Hong Kong             Sham Shui Po                                        HKBN Enterprise Solutions HK Limited                                               
115.160.160.74       Hong Kong             Wan Chai                                            HKBNES                                                                             
223.255.177.179      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
58.177.181.75        Hong Kong             Tai Kok Tsui                                        Hong Kong Broadband Network Ltd                                                    
43.250.62.188        Hong Kong             Kowloon City                                        HKBN Enterprise Solutions HK Limited                                               
223.197.174.249      Hong Kong             Central                                             HKT Limited                                                                        
118.143.211.170      Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
112.118.218.85       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
218.188.51.238       Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
183.178.157.242      Hong Kong             Jordan                                              Hong Kong Broadband Network Ltd                                                    
210.177.196.73       Hong Kong             Hong Kong                                           Dayton Industrial Company Limited                                                  
202.83.244.98        Hong Kong             Baguio Villa                                                                                                                           
125.215.242.129      Hong Kong             Sai Kung                                            Hong Kong Telecommunications (HKT) Limited                                         
103.253.250.10       Hong Kong             Kowloon Bay                                         HKBNES                                                                             
61.239.253.178       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
123.1.253.61         Hong Kong             Kowloon Bay                                                                                                                            
61.92.18.214         Hong Kong             Kwai Chung                                          Hkbncorp                                                                           
72.255.254.133       Hong Kong             Central                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
61.92.61.106         Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
42.200.157.190       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
59.188.29.244        Hong Kong             Kwai Chung                                                                                                                             
72.255.237.121       Hong Kong             Central                                             PCCW IMS Ltd (PCCW Business Internet Access)                                       
59.148.172.238       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
118.140.36.74        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
101.78.208.90        Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
115.160.138.226      Hong Kong             Kowloon Bay                                         HKBNES                                                                             
218.253.90.230       Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
183.178.46.68        Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
202.64.193.118       Hong Kong             Kowloon Bay                                         HKBNES                                                                             
203.198.113.202      Hong Kong             Sha Tin Wai                                         Hong Kong Telecommunications (HKT) Limited                                         
113.212.240.2        Hong Kong             North Point                                         Towngas Telecommunications Fixed Network Limited                                   
61.93.208.82         Hong Kong             Kwai Chung                                                                                                                             
218.255.91.130       Hong Kong             Kowloon Bay                                         HKBNES                                                                             
42.200.135.241       Hong Kong             Tiu Keng Leng                                       Hong Kong Telecommunications (HKT) Limited                                         
61.244.164.211       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
210.3.214.34         Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
123.1.149.131        Hong Kong             Wan Chai                                            HKBN Enterprise Solutions Limited                                                  
210.3.12.42          Hong Kong             Hong Kong                                           HGC Global Communications Limited                                                  
42.200.231.150       Hong Kong             Central                                             Hong Kong Telecommunications (HKT) Limited                                         
183.178.171.75       Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
218.188.49.99        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
14.136.69.1          Hong Kong             Kwai Chung                                          Hong Kong Broadband Network Ltd                                                    
223.17.215.81        Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
58.177.189.214       Hong Kong             Kwai Chung                                          Hkbncorp                                                                           
202.69.68.26         Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
202.126.222.14       Hong Kong             Kowloon Bay                                         HKBNES                                                                             
203.186.8.246        Hong Kong             Kwai Chung                                          Bsmeholbo                                                                          
61.93.167.60         Hong Kong             Hong Kong                                           T & T Intl LTD                                                                     
129.227.156.119      Hong Kong             Hong Kong                                           Zenlayer Inc                                                                       
118.140.111.182      Hong Kong             Tsing Yi                                            HGC Global Communications Limited                                                  
43.224.5.223         Hong Kong             Kowloon Bay                                         HKBN Enterprise Solutions HK Limited                                               
